name,youtube_id,start_time,duration
A,xJNQmamGSb4,00:00:04,00:00:03
B,xJNQmamGSb4,00:00:08,00:00:04
C,xJNQmamGSb4,00:00:14,00:00:03
D,xJNQmamGSb4,00:00:18,00:00:04
E,xJNQmamGSb4,00:00:23,00:00:04
F,xJNQmamGSb4,00:00:29,00:00:03
G,xJNQmamGSb4,00:00:33,00:00:04
H,xJNQmamGSb4,00:00:39,00:00:03
I,xJNQmamGSb4,00:00:44,00:00:03
J,xJNQmamGSb4,00:00:48,00:00:03
K,xJNQmamGSb4,00:00:53,00:00:03
L,xJNQmamGSb4,00:00:59,00:00:03
M,xJNQmamGSb4,00:01:04,00:00:03
N,xJNQmamGSb4,00:01:09,00:00:03
O,xJNQmamGSb4,00:01:14,00:00:03
P,xJNQmamGSb4,00:01:19,00:00:03
Q,xJNQmamGSb4,00:01:23,00:00:04
R,xJNQmamGSb4,00:01:29,00:00:04
S,xJNQmamGSb4,00:01:34,00:00:03
T,xJNQmamGSb4,00:01:38,00:00:04
U,xJNQmamGSb4,00:01:43,00:00:04
V,xJNQmamGSb4,00:01:48,00:00:04
W,xJNQmamGSb4,00:01:54,00:00:03
X,xJNQmamGSb4,00:01:59,00:00:03
Y,xJNQmamGSb4,00:02:04,00:00:03
Z,xJNQmamGSb4,00:02:08,00:00:04
A,jEB45Z6xlAg,00:00:04,00:00:01
B,jEB45Z6xlAg,00:00:06,00:00:02
C,jEB45Z6xlAg,00:00:09,00:00:01
D,jEB45Z6xlAg,00:00:11,00:00:02
E,jEB45Z6xlAg,00:00:16,00:00:01
F,jEB45Z6xlAg,00:00:19,00:00:02
G,jEB45Z6xlAg,00:00:23,00:00:02
H,jEB45Z6xlAg,00:00:27,00:00:02
I,jEB45Z6xlAg,00:00:31,00:00:01
J,jEB45Z6xlAg,00:00:35,00:00:02
K,jEB45Z6xlAg,00:00:39,00:00:03
L,jEB45Z6xlAg,00:00:44,00:00:03
M,jEB45Z6xlAg,00:00:49,00:00:02
N,jEB45Z6xlAg,00:00:54,00:00:02
O,jEB45Z6xlAg,00:00:57,00:00:02
P,jEB45Z6xlAg,00:01:03,00:00:02
Q,jEB45Z6xlAg,00:01:08,00:00:02
R,jEB45Z6xlAg,00:01:13,00:00:02
S,jEB45Z6xlAg,00:01:18,00:00:02
T,jEB45Z6xlAg,00:01:22,00:00:03
U,jEB45Z6xlAg,00:01:27,00:00:03
V,jEB45Z6xlAg,00:01:32,00:00:02
W,jEB45Z6xlAg,00:01:36,00:00:02
X,jEB45Z6xlAg,00:01:41,00:00:03
Y,jEB45Z6xlAg,00:01:46,00:00:02
Z,jEB45Z6xlAg,00:01:51,00:00:02
A,cGavOVNDj1s,00:00:12,00:00:04
B,cGavOVNDj1s,00:00:18,00:00:05
C,cGavOVNDj1s,00:00:25,00:00:04
D,cGavOVNDj1s,00:00:31,00:00:04
E,cGavOVNDj1s,00:00:38,00:00:03
F,cGavOVNDj1s,00:00:43,00:00:04
G,cGavOVNDj1s,00:00:49,00:00:04
H,cGavOVNDj1s,00:00:55,00:00:03
I,cGavOVNDj1s,00:01:01,00:00:03
J,cGavOVNDj1s,00:01:07,00:00:02
K,cGavOVNDj1s,00:01:18,00:00:04
L,cGavOVNDj1s,00:01:23,00:00:05
M,cGavOVNDj1s,00:01:30,00:00:03
N,cGavOVNDj1s,00:01:36,00:00:02
O,cGavOVNDj1s,00:01:41,00:00:03
P,cGavOVNDj1s,00:01:47,00:00:04
Q,cGavOVNDj1s,00:01:55,00:00:03
R,cGavOVNDj1s,00:02:00,00:00:03
S,cGavOVNDj1s,00:02:06,00:00:03
T,cGavOVNDj1s,00:02:12,00:00:03
U,cGavOVNDj1s,00:02:17,00:00:04
V,cGavOVNDj1s,00:02:23,00:00:03
W,cGavOVNDj1s,00:02:29,00:00:03
X,cGavOVNDj1s,00:02:34,00:00:03
Y,cGavOVNDj1s,00:02:39,00:00:03
Z,cGavOVNDj1s,00:02:47,00:00:03
