name,youtube id,start time,duration
Riley,,,
A,xJNQmamGSb4,0:00:04,0:00:03
B,xJNQmamGSb4,0:00:08,0:00:04
C,xJNQmamGSb4,0:00:14,0:00:03
D,xJNQmamGSb4,0:00:18,0:00:04
E,xJNQmamGSb4,0:00:23,0:00:04
F,xJNQmamGSb4,0:00:29,0:00:03
G,xJNQmamGSb4,0:00:33,0:00:04
H,xJNQmamGSb4,0:00:39,0:00:03
I,xJNQmamGSb4,0:00:44,0:00:03
J,xJNQmamGSb4,0:00:48,0:00:03
K,xJNQmamGSb4,0:00:53,0:00:03
L,xJNQmamGSb4,0:00:59,0:00:03
M,xJNQmamGSb4,0:01:04,0:00:03
N,xJNQmamGSb4,0:01:09,0:00:03
O,xJNQmamGSb4,0:01:14,0:00:03
P,xJNQmamGSb4,0:01:19,0:00:03
Q,xJNQmamGSb4,0:01:23,0:00:04
R,xJNQmamGSb4,0:01:29,0:00:04
S,xJNQmamGSb4,0:01:34,0:00:03
T,xJNQmamGSb4,0:01:38,0:00:04
U,xJNQmamGSb4,0:01:43,0:00:04
V,xJNQmamGSb4,0:01:48,0:00:04
W,xJNQmamGSb4,0:01:54,0:00:03
X,xJNQmamGSb4,0:01:59,0:00:03
Y,xJNQmamGSb4,0:02:04,0:00:03
Z,xJNQmamGSb4,0:02:08,0:00:04
ruhi,,,
A,jEB45Z6xlAg,0:00:04,0:00:01
B,jEB45Z6xlAg,0:00:06,0:00:02
C,jEB45Z6xlAg,0:00:09,0:00:01
D,jEB45Z6xlAg,0:00:11,0:00:02
E,jEB45Z6xlAg,0:00:16,0:00:01
F,jEB45Z6xlAg,0:00:19,0:00:02
G,jEB45Z6xlAg,0:00:23,0:00:02
H,jEB45Z6xlAg,0:00:27,0:00:02
I,jEB45Z6xlAg,0:00:31,0:00:01
J,jEB45Z6xlAg,0:00:35,0:00:02
K,jEB45Z6xlAg,0:00:39,0:00:03
L,jEB45Z6xlAg,0:00:44,0:00:03
M,jEB45Z6xlAg,0:00:49,0:00:02
N,jEB45Z6xlAg,0:00:54,0:00:02
O,jEB45Z6xlAg,0:00:57,0:00:02
P,jEB45Z6xlAg,0:01:03,0:00:02
Q,jEB45Z6xlAg,0:01:08,0:00:02
R,jEB45Z6xlAg,0:01:13,0:00:02
S,jEB45Z6xlAg,0:01:18,0:00:02
T,jEB45Z6xlAg,0:01:22,0:00:03
U,jEB45Z6xlAg,0:01:27,0:00:03
V,jEB45Z6xlAg,0:01:32,0:00:02
W,jEB45Z6xlAg,0:01:36,0:00:02
X,jEB45Z6xlAg,0:01:41,0:00:03
Y,jEB45Z6xlAg,0:01:46,0:00:02
Z,jEB45Z6xlAg,0:01:51,0:00:02
Megan,,,
A,cGavOVNDj1s,0:00:12,0:00:04
B,cGavOVNDj1s,0:00:18,0:00:05
C,cGavOVNDj1s,0:00:25,0:00:04
D,cGavOVNDj1s,0:00:31,0:00:04
E,cGavOVNDj1s,0:00:38,0:00:03
F,cGavOVNDj1s,0:00:43,0:00:04
G,cGavOVNDj1s,0:00:49,0:00:04
H,cGavOVNDj1s,0:00:55,0:00:03
I,cGavOVNDj1s,0:01:01,0:00:03
J,cGavOVNDj1s,0:01:07,0:00:02
K,cGavOVNDj1s,0:01:18,0:00:04
L,cGavOVNDj1s,0:01:23,0:00:05
M,cGavOVNDj1s,0:01:30,0:00:03
N,cGavOVNDj1s,0:01:36,0:00:02
O,cGavOVNDj1s,0:01:41,0:00:03
P,cGavOVNDj1s,0:01:47,0:00:04
Q,cGavOVNDj1s,0:01:55,0:00:03
R,cGavOVNDj1s,0:02:00,0:00:03
S,cGavOVNDj1s,0:02:06,0:00:03
